,DATASET,SERIES_CODE,OBS_MEASURE,COUNTRY,SECTOR,GFS_GRP,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,SCALE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
51,IMF.STA:GFS_SOO(12.0.0),RUS.S1311B.G1.G116_T.POGDP_PT.A,OBS_VALUE,Russian Federation,Budgetary central government,Revenue,"Other taxes, Transactions",Percent of GDP,Annual,Units,-0.0004030825333656606,-0.0004409344688269876,-0.0001468354393206218,-0.0001370131390530866,0.0002171160200602201,8.526839928480097e-05,0.0001331525511024307,0.0002417164375692063,9.243065084725064e-05,-1.824679235531658e-06,1.114639450688588e-05,8.838231484904864e-06,1.288752123935993e-06,1.16178891141262e-06,
52,IMF.STA:GFS_SOO(12.0.0),ZAF.S1311B.G1.G1113_T.POGDP_PT.A,OBS_VALUE,South Africa,Budgetary central government,Revenue,"Other taxes on income, profits, and capital gains, Transactions",Percent of GDP,Annual,Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
53,IMF.STA:GFS_SOO(12.0.0),USA.S1311B.G1.G11414_T.POGDP_PT.A,OBS_VALUE,United States,Budgetary central government,Revenue,"Taxes on financial and capital transactions, Transactions",Percent of GDP,Annual,Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
54,IMF.STA:GFS_SOO(12.0.0),ZAF.S1311B.G1.G122_T.POGDP_PT.A,OBS_VALUE,South Africa,Budgetary central government,Revenue,"Other social contributions, Transactions",Percent of GDP,Annual,Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
55,IMF.STA:GFS_SOO(12.0.0),ZAF.S1311B.G1.G113_T.POGDP_PT.A,OBS_VALUE,South Africa,Budgetary central government,Revenue,"Taxes on property, Transactions",Percent of GDP,Annual,Units,0.0277165035582058,0.0329968298307779,0.0307055975263467,0.0313872736298706,0.0400494102177304,0.0478879150242954,0.0399145699950941,0.0595507414693539,0.0498542704647793,0.0465779025714076,0.0524121676588289,0.0608204282503858,0.0661534280510821,,
56,IMF.STA:GFS_SOO(12.0.0),USA.S1311B.G1.G13K_IO_T.POGDP_PT.A,OBS_VALUE,United States,Budgetary central government,Revenue,"Capital grants receivable, International Organizations, Transactions",Percent of GDP,Annual,Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
57,IMF.STA:GFS_SOO(12.0.0),ZAF.S1311B.G1.G1_T.POGDP_PT.A,OBS_VALUE,South Africa,Budgetary central government,Revenue,"Revenue, Transactions",Percent of GDP,Annual,Units,22.644288428084,23.0966603695929,23.6127603889707,24.0313910205325,24.718599605804,25.4918009300775,24.7408504231551,24.4497769185216,24.4771268984002,24.6930245944727,23.4332379066898,25.8973782802092,26.3318287014899,,
59,IMF.STA:GFS_SOO(12.0.0),USA.S1311B.G1.G111_T.POGDP_PT.A,OBS_VALUE,United States,Budgetary central government,Revenue,"Taxes on income, profits, and capital gains, Transactions",Percent of GDP,Annual,Units,7.819921290320437,8.78079709738473,8.968808812627085,9.593267449317043,10.01675306144181,10.2970494670675,10.01793096480173,9.526617751286196,9.02854909042058,8.997480730595091,9.33655956401866,10.51667622066895,11.69744798495784,9.891450169503145,
60,IMF.STA:GFS_SOO(12.0.0),USA.S1311B.G1.G13C_IO_T.POGDP_PT.A,OBS_VALUE,United States,Budgetary central government,Revenue,"Current grants receivable, International Organizations, Transactions",Percent of GDP,Annual,Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
61,IMF.STA:GFS_SOO(12.0.0),ZAF.S1311B.G1.G12_T.POGDP_PT.A,OBS_VALUE,South Africa,Budgetary central government,Revenue,"Social contributions, Transactions",Percent of GDP,Annual,Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
